"Read Details","閱讀詳細內容",module,Magento_AdminNotification
"Mark as Read","標示為已閱讀",module,Magento_AdminNotification
"Are you sure?","確定?",module,Magento_AdminNotification
Remove,移除,module,Magento_AdminNotification
"Messages Inbox","收件箱",module,Magento_AdminNotification
"You have %1 new system messages","你有 %1 新系統訊息",module,Magento_AdminNotification
"You have %1 new system message","你有 %1 新系統訊息",module,Magento_AdminNotification
"Incoming Message","收到的訊息",module,Magento_AdminNotification
close,關閉,module,Magento_AdminNotification
Notifications,通知,module,Magento_AdminNotification
"The message has been marked as Read.","訊息已被標示為已閱讀.",module,Magento_AdminNotification
"We couldn\'t mark the notification as Read because of an error.","We couldn\'t mark the notification as Read because of an error.",module,Magento_AdminNotification
"Please select messages.","請選擇訊息.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","A total of %1 record(s) have been marked as Read.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Total of %1 record(s) have been removed.",module,Magento_AdminNotification
"We couldn\'t remove the messages because of an error.","We couldn\'t remove the messages because of an error.",module,Magento_AdminNotification
"The message has been removed.","訊息已被移除.",module,Magento_AdminNotification
"1 Hour","1 小時",module,Magento_AdminNotification
"2 Hours","2 小時",module,Magento_AdminNotification
"6 Hours","6 小時",module,Magento_AdminNotification
"12 Hours","12 小時",module,Magento_AdminNotification
"24 Hours","24 小時",module,Magento_AdminNotification
critical,critical,module,Magento_AdminNotification
major,major,module,Magento_AdminNotification
minor,minor,module,Magento_AdminNotification
notice,notice,module,Magento_AdminNotification
"Wrong message type","Wrong message type",module,Magento_AdminNotification
"Wrong notification ID specified.","Wrong notification ID specified.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1. ","One or more of the Cache Types are invalidated: %1. ",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Please go to <a href=""%1"">Cache Management</a> and refresh cache types.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We were unable to synchronize one or more media files. Please refer to the log file for details.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Synchronization of media storages has been completed.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.",module,Magento_AdminNotification
"Close popup","Close popup",module,Magento_AdminNotification
Close,關閉,module,Magento_AdminNotification
"System Messages:","系統訊息:",module,Magento_AdminNotification
"Critical System Messages","關鍵系統訊息",module,Magento_AdminNotification
"Major System Messages","主要系統訊息",module,Magento_AdminNotification
"System messages","系統訊息",module,Magento_AdminNotification
"See All (","查看所有 (",module,Magento_AdminNotification
" unread)"," 未讀)",module,Magento_AdminNotification
"Please correct the data sent.","Please correct the data sent.",module,Magento_AdvancedPricingImportExport
"Entity type model '%1' is not found","Entity type model '%1' is not found",module,Magento_AdvancedPricingImportExport
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType",module,Magento_AdvancedPricingImportExport
"There are no product types available for export","There are no product types available for export",module,Magento_AdvancedPricingImportExport
"We can't find the role for the user you wanted.","We can't find the role for the user you wanted.",module,Magento_Authorization
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.",module,Magento_Authorization
"You created the order.","你已新增了訂單.",module,Magento_Authorizenet
"Order saving error: %1","訂單儲存錯誤: %1",module,Magento_Authorizenet
"Please choose a payment method.","請選擇付款方法.",module,Magento_Authorizenet
"We can't process your order right now. Please try again later.","現在未能處理你的訂單，請稍後再嘗試.",module,Magento_Authorizenet
"Cannot place order.","不能處理訂單.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","信用卡: xxxx-%1",module,Magento_Authorizenet
"amount %1","金額 %1",module,Magento_Authorizenet
failed.,失敗.,module,Magento_Authorizenet
successful.,成功.,module,Magento_Authorizenet
"Authorize.Net Transaction ID %1.","Authorize.Net 交易号碼 %1.",module,Magento_Authorizenet
authorize,授權,module,Magento_Authorizenet
"authorize and capture","授權和傳送",module,Magento_Authorizenet
capture,傳送,module,Magento_Authorizenet
refund,退款,module,Magento_Authorizenet
void,作廢,module,Magento_Authorizenet
"Gateway error: %1","閘道錯誤: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","付款閘道發生錯誤.",module,Magento_Authorizenet
"Invalid amount for capture.","傳送金額不正確.",module,Magento_Authorizenet
"Payment capturing error.","傳送付款錯誤.",module,Magento_Authorizenet
"Invalid transaction ID.","交易号碼不正確.",module,Magento_Authorizenet
"Payment voiding error.","交易作廢錯誤.",module,Magento_Authorizenet
"Invalid amount for refund.","退款金額不正確.",module,Magento_Authorizenet
"Payment refunding error.","退款錯誤.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","The transaction was declined because the response hash validation failed.",module,Magento_Authorizenet
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order.",module,Magento_Authorizenet
"There was a payment authorization error.","There was a payment authorization error.",module,Magento_Authorizenet
"Please enter a transaction ID to authorize this payment.","Please enter a transaction ID to authorize this payment.",module,Magento_Authorizenet
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 has been approved. Amount %2. Transaction status is ""%3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.",module,Magento_Authorizenet
"Authorize Only","只是授權",module,Magento_Authorizenet
"Authorize and Capture","授權和傳送",module,Magento_Authorizenet
"Unable to get transaction details. Try again later.","Unable to get transaction details. Try again later.",module,Magento_Authorizenet
"Credit Card Type","信用卡類型",module,Magento_Authorizenet
"Credit Card Number","信用卡号碼",module,Magento_Authorizenet
"Expiration Date","有效日期至",module,Magento_Authorizenet
"Card Verification Number","信用卡識別號",module,Magento_Authorizenet
"Fraud Detection ","Fraud Detection ",module,Magento_Authorizenet
"FDS Filter Action","FDS Filter Action",module,Magento_Authorizenet
"AVS Response","AVS Response",module,Magento_Authorizenet
"Card Code Response","Card Code Response",module,Magento_Authorizenet
"CAVV Response","CAVV Response",module,Magento_Authorizenet
"Fraud Filters","Fraud Filters",module,Magento_Authorizenet
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page.",module,Magento_Backend
"You entered an invalid Secret Key. Please refresh the page.","You entered an invalid Secret Key. Please refresh the page.",module,Magento_Backend
"Cache Storage Management","Cache Storage Management",module,Magento_Backend
"Flush Magento Cache","Flush Magento Cache",module,Magento_Backend
